,lat,lon,pop,Region
102,42.6647495,-83.23093751,21510.0,AuburnHills
103,28.10798645,-81.8037622,13717.0,Auburndale
104,29.93040405,-90.12635909,8802.0,Audubonborough
105,30.2711286,-97.7436995,432257.0,Austin
106,36.0041223,-120.12902720000001,15111.0,Avenal
107,25.953257,-80.13664587,36854.0,Aventura
108,39.6329025,-106.47118370000001,17826.0,Avon
109,41.50531779999999,-82.02820009999999,22781.0,AvonLake
110,27.5960827,-81.5060858,8858.0,AvonPark
111,33.4359175,-112.3405021,76927.0,Avondale
112,32.8951262,-97.5458565,11108.0,Azle
113,34.1338751,-117.90560459999999,46632.0,Azusa
114,30.903799499999998,-84.5754699,12680.0,Bainbridge
115,47.65526,-122.5350862,23197.0,BainbridgeIsland
116,31.3439196,-84.4555346,13863.0,Baker
117,44.7748748,-117.8343848,9773.0,BakerCity
118,35.3738712,-119.01946389999999,353533.0,Bakersfield
119,32.7287413,-96.6227714,24402.0,BalchSprings
120,34.08033185,-117.96621370000001,75949.0,BaldwinPark
121,33.0508354,-83.2398518,19794.0,Baldwinborough
122,38.595018200000005,-90.54691329999999,30418.0,Ballwin
123,39.2908608,-76.61080729999999,620889.0,Baltimore
124,44.8011821,-68.77781379999999,32962.0,Bangor
125,33.9255685,-116.875289,30048.0,Banning
126,43.4704014,-89.74378440000001,12063.0,Baraboo
127,41.012833,-81.60512209999999,26421.0,Barberton
128,41.278228000000006,-73.60064890000001,44831.0,BarnstableTown
129,42.4228679,-72.1050787,9011.0,Barre
130,35.7401209,-78.53451092,10330.0,Barringtonvillage
131,34.8957684,-117.0172077,22946.0,Barstow
132,36.7473114,-95.9808179,36150.0,Bartlesville
133,41.9908485,-88.18500279999999,57363.0,Bartlett
134,43.11618060000001,-75.40378299999999,41430.0,Bartlettvillage
135,34.2394683,-84.84069840000001,17489.0,Bartow
136,30.1104947,-97.31527009999999,9231.0,Bastrop
137,41.8500284,-88.3125738,20847.5,Batavia
138,35.78883,-91.65050847,8879.0,Batesville
139,30.4507462,-91.154551,228939.0,BatonRouge
140,42.319254799999996,-85.18242690000001,52035.0,BattleCreek
141,45.7813532,-122.5337433,17888.0,BattleGround
142,36.2820691,-92.3445222,7645.0,Baxter
143,30.248169300000004,-85.6593633,72973.0,Bay
144,28.982940999999997,-95.96336143,26191.5,BayCity
145,30.8829628,-87.77304740000001,8454.0,BayMinette
146,30.302819500000002,-89.33755482,9775.0,BayStLouis
147,41.492235,-81.93012118,15540.0,BayVillage
148,41.4644979,-81.50873220000001,11870.0,Beachwood
149,41.4644979,-81.50873220000001,11069.0,Beachwoodborough
150,41.504878999999995,-73.96968220000001,14555.0,Beacon
151,40.266029100000004,-96.74691170000001,12232.0,Beatrice
152,30.0860459,-94.10184609999999,78212.5,Beaumont
153,43.4577692,-88.837329,16296.0,BeaverDam
154,40.7520097,-80.3192295,8822.0,BeaverFalls
155,39.7092262,-84.0632685,45790.0,Beavercreek
156,45.4871723,-122.8037804,91406.0,Beaverton
157,37.778170200000005,-81.18815570000001,17700.0,Beckley
158,41.4169982,-81.5273428,10681.0,BedfordHeights
159,35.0706424,-91.87958559999998,7592.0,Beebe
